,name,lat,lon
2258,Baron’s,32.7483744,-117.1242215
2259,Whole Foods Market,34.2734326,-118.5549729
2260,Walmart,32.581551,-117.035491
2261,Seafood City Market,38.122467,-122.2575771
2262,Sprouts Farmers Market,33.5412716,-117.1425153
2263,Dollar Tree,38.1217281,-122.2571966
2264,El Super,34.04151,-118.1918603
2265,Fresco Supermarket,37.3240486,-121.8099661
2266,Dollar Tree $1 Store,38.1330067,-122.2211937
2267,Trader Joe's,34.4284056,-118.5381487
2268,Baja Ranch Market,34.0820028,-117.8913755
2269,Vallarta Supermarket,36.7874014,-119.752607
2270,99c Only Store,38.1246789,-122.2538185
2271,Walgreens,34.048037,-118.2574099
2272,Grocery Outlet,34.0539594,-118.2623565
2273,Ralphs,32.7518093,-117.2110487
2274,El Pueblo Market,36.2118265,-121.1277822
2275,Fillette de Oro,36.2120121,-121.1286376
2276,La Princessa Market,36.2103159,-121.1314018
2277,PrimeTime Nutrition,36.210654,-121.1316672
2278,Walgreens,38.122784,-122.2502276
2279,Sprouts,37.8852078,-122.2978846
2280,Seafood City Market,34.1408814,-118.2252326
2281,ALDI,33.8573887,-118.0873176
2282,Lazy Acres Market,33.7939475,-118.1235926
2283,La Bodega,33.7824892,-118.1577069
2284,Trader Joe’s,32.7661721,-117.1552299
2285,Trader Joe's,33.6086516,-117.7025426
2286,Mother's Market,33.6117467,-117.7139933
2287,Ralphs,34.2706774,-118.7424445
2288,Costco Wholesale,34.1999557,-118.3800684
2289,Smart & Final,37.9569805,-122.5066316
2290,Smart & Final,33.8018525,-117.9433913
2291,Food 4 Less,32.8157132,-115.5725948
2292,Lion Market,37.5232542,-122.0079868
2293,Sprouts,37.5488146,-122.0518364
2294,Smart & Final,34.0755345,-118.2165653
2295,Sprouts Farmers Market,38.5363945,-121.504848
2296,El Sol Market,32.7953109,-115.5822245
2297,Ralphs,34.0549042,-118.3978831
2298,Apple Tree Supermarket,32.7466896,-117.250436
2299,Taj Mahal Fresh Market,37.3891287,-122.00347
2300,Pierre Lafond,34.4375266,-119.6316634
2301,Save Mart Supermarkets,36.3255806,-119.3309158
2302,Olive Tree Market,32.7429768,-117.2493095
2303,Chautauqua Natural foods,40.1004939,-123.793468
2304,Asian Food Center,38.5628134,-121.496043
2305,Save Mart Marketplace,36.3257907,-119.3306764
2306,SF Supermarket,38.5207448,-121.5132058
2307,H Mart,37.3838318,-121.894523
2308,Sprouts Farmers Market,34.0201735,-117.8114874
2309,Dollar Tree,37.2880458,-121.9760175
2310,Goodwill,37.2853386,-121.9762284
2311,Save Mart,38.5577417,-121.4386663
2312,Corti Brothers,38.5572269,-121.4362613
2313,Family Dollar,35.7586496,-117.3758092
2314,Grocery Outlet,38.4444867,-122.7039592
2315,Whole Foods Market,36.8094039,-119.8056789
2316,Save Mart,39.168028,-120.1459863
2317,Smart & Final,38.511719,-121.4372396
2318,7-Eleven,32.7220905,-117.1591711
2319,Roma,32.7206656,-117.1676393
2320,T & Y Market,38.6195711,-121.4577017
2321,Big Lots,37.972245,-120.3633078
2322,FoodsCo,38.5269876,-121.4446479
2323,Sprouts Farmers Market,33.0197038,-117.1235441
2324,Ulta,33.0205208,-117.1134777
2325,Apna Bazar,37.3736377,-122.0523028
2326,Stater Brothers,34.4040865,-118.4649144
2327,Takahashi Market,37.5670309,-122.3208212
2328,Safeway,39.7623124,-121.8226255
2329,Trader Joe's,39.7593442,-121.846984
2330,Safeway,37.9272435,-122.0184678
2331,Food maxx,39.1312645,-123.1966909
2332,Northgate Market,33.8377529,-117.8885064
2333,Valley Farm Market,32.7518076,-117.001918
2334,European Deli,37.6942762,-122.0729741
2335,Aldi,33.691873,-117.3394059
2336,Grocery Outlet Bargain Market,33.6960806,-117.3359981
2337,Lucky,37.7045493,-121.8536299
2338,No,39.4312741,-123.8340529
2339,Cal Mart Beer & Wine Food Store,34.0251267,-118.2787842
2340,Market 5-ONE-5,38.5718468,-121.497915
2341,Target,34.0256705,-118.2844363
2342,Smart & Final Extra!,33.9444865,-117.4162369
2343,Food 4 Less,33.7179678,-117.886669
2344,99 Only Store,33.7154611,-117.884102
2345,Northgate Market,33.9601634,-118.1075823
2346,99 Ranch Market,33.993028,-117.9335298
2347,Food 4 Less,33.944268,-118.32817
2348,Bangluck Market,34.101529,-118.3028201
2349,Jons,34.0575293,-118.301309
2350,Trader Joe's Glendale,34.1598097,-118.2543949
2351,La Preciosa,36.6088206,-121.839919
2352,La Preciosa,36.6088206,-121.839919
2353,El Super,36.7145386,-121.6257986
2354,Trader Joe's,37.8902736,-122.1269252
2355,Trader Joe’s,32.8008673,-117.2406769
2356,Smart & Final,37.947587,-122.058883
2357,Stater Bros.,34.0637658,-117.1818978
2358,Grocery Outlet,34.6386353,-120.4545025
2359,Grocery Outlet,32.7917115,-117.0803142
2360,Ralphs,34.0477911,-118.3395489
2361,Corner Market,34.1517159,-118.2644922
2362,Sprouts Farmers Market,37.9688301,-122.5230573
2363,Aldi,34.1112641,-117.7628001
2364,Sprouts Farmers Market,34.1187895,-117.7775267
2365,Save Mart,36.3114167,-119.3484498
2366,Trader Joe's,34.2197911,-119.0529016
2367,FoodMaxx,37.7373846,-121.4518959
2368,Food 4 Less,34.51939,-117.3145208
2369,Trader Joe's,37.8229327,-122.0032167
2370,Tambuli Market,33.8308313,-118.2787064
2371,Seafood City Supermarket,33.8321595,-118.2797865
2372,Nugget Markets,38.6782103,-121.7806092
2373,Armentas Market,37.2744895,-121.9333827
2374,Nugget Markets,38.0673861,-122.5429813
2375,Brunos Market & Deli,36.5559686,-121.9198108
2376,Food 4 Less,34.1683201,-118.1335686
2377,Vons,32.7824334,-117.0323362
2378,Safeway,37.9358665,-121.6991427
2379,Sprouts Farmers Market,37.9442306,-121.7349511
2380,King Soopers,39.9834044,-105.2514653
2381,King Soopers,39.7373229,-104.9979428
2382,City Market,39.4887722,-106.046892
2383,Safeway,39.3618654,-104.8610423
2384,King Soopers,39.5423024,-104.9443021
2385,King Soopers,39.9446405,-104.9378994
2386,King Soopers,39.9147961,-104.9435706
2387,King Soopers,39.6549278,-105.0513465
2388,King Soopers,40.5250951,-105.0730423
2389,Sprouts  Farmer's Market,40.5508385,-105.0595627
2390,Safeway,40.554382,-105.1166585
2391,King Soopers,39.7641939,-105.1398719
2392,King Soopers,39.5676085,-104.9208442
2393,King Soopers,39.8840237,-104.9760133
2394,King Soopers,39.5943915,-104.9287588
2395,Safeway,40.035039,-105.2599427
2396,Whole Foods Market,40.0240242,-105.255938
2397,King Soopers,39.6266082,-104.8840648
2398,Safeway,39.8724434,-104.9759327
2399,Albertson's,39.5634141,-105.107425
2400,King Soopers,39.6121539,-104.9897933
2401,Safeway,39.5748722,-104.9918813
2402,Sprouts Farmers Market,39.6151754,-105.0924146
2403,Safeway,39.6257294,-105.1114858
2404,King Soopers,39.6232009,-105.1075531
2405,Safeway Food & Drug,39.7489053,-104.9775238
2406,King Soopers,39.5254363,-104.940566
2407,Safeway,39.698484,-105.1457854
2408,Natural Grocers,39.7023789,-105.1381777
2409,Safeway,39.5378276,-104.8833045
2410,King Soopers,39.6800543,-105.0211609
2411,Safeway,39.755637,-105.0243375
2412,King Soopers,40.1590646,-104.9395644
2413,Mountain People's Co-op,39.961775,-105.5097203
2414,B&F Mountain Market,39.9602331,-105.5087547
2415,Safeway,40.3801386,-105.51692
2416,Albertsons,37.2720106,-107.8851545
2417,Natural Grocer,38.4465193,-107.8682482
2418,Walmart Supercenter,38.9704963,-105.0386926
2419,Safeway,38.9826622,-105.0467735
2420,Vitamin Cottage Natural Grocers,39.6790517,-104.9424246
2421,Crestone Merchantile,37.9954838,-105.6981526
2422,Venture Foods,38.9423005,-105.1573636
2423,City Market,39.6628115,-106.8258516
2424,University Hill Market & Deli,40.0080103,-105.2760614
2425,Sprouts Farmers Market,39.9992866,-105.2543453
2426,Sprouts Farmers Market,40.0158767,-105.2609983
2427,Safeway,39.6512816,-104.7696092
2428,King Soopers,39.6550819,-104.7761461
2429,Walmart Supercenter,37.9981886,-103.5931748
2430,City Market,39.5686091,-107.5137358
2431,Safeway,37.1673701,-104.5094988
2432,Sprouts Farmers Market,39.6641588,-104.9394308
2433,Whole Foods Market,39.5917778,-104.9618538
2434,Duckett's Market,38.0233275,-107.671243
2435,Charming Charlie 2,39.9574655,-108.5487533
2436,Charming Charlie,39.9996903,-108.5894371
2437,Coop,40.0114281,-105.2843589
2438,Safeway,38.5437179,-106.9299103
2439,King Soopers,39.5443095,-105.2920701
2440,Safeway,39.5272715,-105.3034037
2441,Prather's Market,39.2209879,-105.9926811
2442,Anton Super's,39.7408041,-103.217785
2443,Safeway,39.9982083,-105.2344308
2444,King Soopers,39.737643,-104.9176848
2445,King Soopers,39.8767324,-105.0983229
2446,Carmine Lonardo's,39.6897503,-105.0804403
2447,King Soopers,39.6815267,-105.0831167
2448,Columbine Market,39.6466972,-106.9464174
2449,Safeway,40.1189982,-104.9398793
2450,Sprouts Farmers Market,39.9886443,-105.0962299
2451,Walmart Supercenter,39.868013,-105.0566917
2452,Whole Foods Market,39.7007224,-104.9396251
2453,The Grocery Store,37.2327652,-107.5956814
2454,King Soopers,39.0580109,-104.8430602
2455,L&A Market,39.6606488,-104.8481752
2456,India's Harvest,39.6609172,-104.8480558
2457,Walmart Supercenter,40.4044608,-105.0466615
2458,Safeway,39.6457021,-105.3401695
2459,Walmart Supercenter,39.701098,-105.327102
2460,King Soopers,39.6934192,-105.3585641
2461,Walmart Supercenter,39.360377,-104.623497
2462,Natural Grocers,39.5938326,-104.9587488
2463,Schwans,39.1253164,-108.5366715
2464,Safeway,39.3600306,-104.6099377
2465,Nana African Market,39.6754033,-104.8690002
2466,Gulzar Market,39.6755209,-104.8674539
2467,King Soopers Grocery,39.6908658,-105.0521622
2468,Save Alot,39.6904406,-105.0418786
2469,Save-A-Lot Grocery Store,39.6814878,-105.0257988
2470,Walmart Neighborhood Market,38.8075717,-104.7583915
2471,King Soopers,39.8434178,-105.0834881
2472,Safeway,39.8433591,-105.0808075
2473,Walmart Supercenter,39.8253735,-105.056353
2474,Walmart Grocery,39.4067659,-104.8613299
2475,Clark's Market,39.1926858,-106.8190275
2476,Walmart Supercenter,39.562394,-104.910747
2477,Marczyk Fine Foods,39.7430196,-104.9780485
2478,Fresh Fare by King Soopers,39.6536485,-104.9605814
2479,King Soopers,39.6519817,-104.9142114
2480,Whole Foods Market,39.6520158,-104.9017556
2481,Safeway,39.6664191,-104.9148823
2482,Safeway,39.6870756,-104.9424537
2483,Target,39.8396027,-105.0854321
2484,Safeway,38.7164959,-104.6990242
2485,Twin Lakes General Store,39.0819313,-106.3821924
2486,King Soopers,39.468588,-104.8796217
2487,King Soopers,39.9882467,-105.1241905
2488,Cosmic Market,40.392509,-104.715363
2489,Trader Joe's,39.609257,-104.9571153
2490,Safeway,39.6774013,-104.9721059
2491,Trader Joe's,39.7289397,-104.940292
2492,Natural Grocers,40.5282885,-105.0751963
2493,King Soopers,39.7420445,-105.1252846
2494,Walmart Grocery,39.6514023,-104.8791612
2495,Haat Bazar,39.6685232,-104.8618334
2496,H Mart,39.6657751,-104.8631137
2497,Bangla Bazaar,39.6671953,-104.8640561
2498,King Soopers,39.6959225,-104.8680156
2499,Safeway,39.737282,-104.9155999
2500,Safeway,39.7204867,-104.9009058
2501,Walmart Supercenter,39.7620902,-104.7744953
2502,Tony's Market,39.4262833,-104.9016922
2503,Downing Supermarket,39.7640796,-104.9727571
2504,Walmart Supercenter,39.7020036,-104.8261667
2505,Walmart Neighborhood Market,39.6758361,-104.9147401
2506,Walmart Supercenter,38.232244,-104.664911
2507,Loaf 'N Jug,38.2338009,-104.6663809
2508,Mountain Naturals,39.00346,-105.0624595
2509,Whole Foods Market,39.7364521,-105.1613411
2510,Family Dollar,37.2620265,-107.0593201
2511,India Bazaar Asian Grocery,39.7398719,-104.8759726
2512,King Soopers,39.7416461,-104.8123663
2513,King Soopers,39.7264622,-104.8496238
2514,Save-A-Lot,39.7270501,-104.8442755
2515,Lek's Asian Market,39.7285407,-104.8461674
2516,Skye Market & Liquor,39.7585557,-104.9986375
2517,King Soopers,39.7572583,-104.9987602
2518,Park Avenue Wine & Spirits,39.765462,-104.9935601
2519,Georgetown Market,39.7123996,-105.6955006
2520,Sprouts Farmer's Market,39.0805432,-108.5864028
