,store_name,address
96,Amerdev,"5707 Southwest Parkway, Austin Texas 78735"
97,Plane Box Food Gate 12,"3600 Presidential Boulevard, Austin Texas 78719"
98,Book People Gate 12,"3600 Presidential Boulevard, Austin Texas 78719"
99,Austin Article,"3600 Presidential Boulevard, Austin Texas 78719"
100,Home Office,"1108 Victor Street, Houston Texas 77019"
101,Kroger #17,"1440 Studemont St, Houston TX 77007"
102,Heights Food Mart,"137-171 Heights Boulevard, Houston TX 77007"
103,Mid-Town Food Mart,"4737-4745 Washington Avenue, Houston TX 77007"
104,HEB #630,"1701 w Alabama st, Houston TX 77098"
105,Food Mart,"4740 Katy Fwy, Houston TX 77007"
106,Citgo,"2605-2607 South Shepherd Drive, Houston Texas 77019"
107,El Tiempo Market,"5602 Washington Ave, Hpuston TX 77007"
108,Katy Freeway Texaco,"5331-5399 Katy Freeway Service Road, Houston TX 77007"
109,Kroger #312,"973-1035 North Shepherd Drive, Houston TX 77008"
110,Hermann Park Conservancy Gift Shop,"6102 Hermann Park Drive, Houston Texas 77030"
111,HEB #497,"1621 S Mason Rd, Katy TX 77450"
112,HEB #599,"5225 Buffalo Speedway, Houston TX 77005"
113,Kroger #314,"5150 Buffalo Speedway, Houston TX 77005"
114,Kroger #740,"7723-7799 Kirby Drive, Houston TX 77030"
115,HEB #687,"5895 San felipe, Houston Tx "
116,Kroger  #309,"1727-1799 South Voss Road, Houston Texas 77057"
117,Kroger,"9313b Katy Freeway, Houston Texas 77024"
118,HEB #109,"9710 Katy Freeway, Houston TX 77055"
119,HEB #541,"10100 Beechnut Street, Houston TX 77072"
120,HEB #054,"9828 Blackhawk Boulevard, Houston TX 77075"
121,HEB #551,"11815 Westheimer Road, Houston TX 77077"
122,HEB 551,"11817-11861 Westheimer Road, Houston Texas 77077"
123,HEB #576,"7310 louetta, Cypress TX "
124,Kroger #349,"1520 Eldridge Parkway, Houston TX 77077"
125,HEB #473,"6210 Fairmont Parkway, Pasadena TX 77505"
126,heb 657,"9505 Jones Road, Houston Texas 77065"
127,HEB #575,"14498 Bellaire Boulevard, Houston TX 77083"
128,HEB #099,"10919 Louetta rd, Cypress TX "
129,HEB #698,"14100 spring cypress, Cypress TX "
130,HEB 474,"4724 Highway 6, Missouri City Texas 77459"
131,HEB #474,"4724 Highway 6, Sugar Land TX 77479"
132,Kroger #737,"12412 FM 1960 Road East, Houston TX 77065"
133,HEB #713,"3501 clear lake city Boulevard, Houston TX 77059"
134,HEB #110,"8900 hwy 6, Missouri City TX 77459"
135,HEB 110,"Sienna Parkway, Missouri City Texas 77459"
136,HEB #627,"530 Highway 6, Sugar Land TX 77479"
137,HEB 627,"510 Highway 6, Sugar Land Texas 77478"
138,HEB #498,"7405 FM 1960, Humble TX 77346"
139,Kroger #318,"19340 West Lake Houston Parkway, Humble TX 77346"
140,HEB #492,"1550 Fry Rd, Houston Texas 77084"
141,HEB #99,"10919 Louetta Rd, Houston Texas 77070"
142,heb # 724,"110161 Grand Parkway, Richmond Texas 77407"
143,HEB #610,"2121 Farm to Market 2920, Spring TX 77388"
144,Express Mart #1,"11737 Barker Cypress Road, Cypress Texas 77433"
145,HEB #20,"24224 Northwest Freeway, Cypress TX 77429"
146,HEB,"1550 Fry Rd., Houston TX 77084"
147,HEB #497,"1621 South Mason Road, Katy TX 77450"
148,HEB 497,"1625 South Mason Road, Katy Texas 77450"
149,Kroger #130,"2150 Spring Stuebner Road, Spring TX 77389"
150,HEB #720,"4517 Kingwood Drive, Humble TX 77345"
151,24 Seven,"2930 N MASON RD, Katy TX 77449"
152,HEB #563,"19900 Southwest Freeway, Sugar Land TX 77479"
153,HEB #725,"20311 Champion Forest Drive, Spring TX 77379"
154,Kroger #310,"4124-4276 West Lake Houston Parkway, Houston TX 77339"
155,HEB #705,"3540 Rayford Road, Spring TX 77386"
156,HEB #709,"9722 Fry Road, Cypress TX 77433"
157,HEB #596,"6711 S Fry Rd, Katy TX 77494"
158,Kroger #373,"2301 Rayford, Spring TX 77386"
159,HEB #564,"130 Sawdust Road, Spring TX 77380"
160,Harvest Natural Market,"25600 Westheimer Pkwy, Katy TX 77494"
161,Kroger 121,"4033 Falcon Landing Boulevard, Katy Texas 77494"
162,Kroger #121,"9806 Gaston Road, Katy TX 77494"
163,Kroger #117,"24350 Kuykendahl Rd, Tomball TX 77375"
164,Kroger #38,"25050 Farm to Market 1093, Richmond Texas 77406"
165,Kroger #38,"25050 FM 1093, Katy TX 77494"
166,HEB,"23500 berry pkwy, Richmond Texas 77469"
167,Kroger #138,"22030 Market Place Dr., New Caney TX 77357"
168,ERROR,"3772 Cartwright rd, Missouri city TX 77459"
169,HEB #615,"25675 Nelson Way, Katy TX 77494"
170,HEB 615,"25681 Nelson Way, Katy Texas 77494"
171,Kroger #10,"24401 Brazos Town Crossing, Rosenberg TX 77471"
172,Kroger 10,"24401 Brazos Town Crossing, Rosenberg Texas 77471"
173,HEB  #574,"28520 Tomball Parkway, Tomball TX 77375"
174,HEB #656,"28550 U.S. 290, Cypress TX 77433"
